model_id,type,name,details,model_url,price
1,Bike,Hero Splendor Plus,"{""engine"": ""97.2cc"", ""category"": ""Commuter"", ""manufacturer"": ""Hero""}",https://rdtcwsuxbrdoyhskbvkv.supabase.co/storage/v1/object/sign/models-3d/jet_motorcycle.glb?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJtb2RlbHMtM2QvamV0X21vdG9yY3ljbGUuZ2xiIiwiaWF0IjoxNzIzOTk1ODI2LCJleHAiOjE3NTU1MzE4MjZ9.w9Uutb4TpdL7IoI1hNm6atQcQHsWoJdigQJKAIJvLNw&t=2024-08-18T15%3A43%3A47.651Z,1000
2,Bike,Bajaj Pulsar 150,"{""engine"": ""149.5cc"", ""category"": ""Sport"", ""manufacturer"": ""Bajaj""}",https://rdtcwsuxbrdoyhskbvkv.supabase.co/storage/v1/object/sign/models-3d/kawasaki_ninja_zx-6r.glb?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJtb2RlbHMtM2Qva2F3YXNha2lfbmluamFfengtNnIuZ2xiIiwiaWF0IjoxNzIzOTk1ODMyLCJleHAiOjE3NTU1MzE4MzJ9.FQS7JW3uX04Bka7yxD1zqEB8698rmVmf_t5f6Qx84yA&t=2024-08-18T15%3A43%3A53.701Z,1000
3,Bike,Honda CB Shine,"{""engine"": ""124cc"", ""category"": ""Commuter"", ""manufacturer"": ""Honda""}",https://rdtcwsuxbrdoyhskbvkv.supabase.co/storage/v1/object/sign/models-3d/scooter_simple.glb?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJtb2RlbHMtM2Qvc2Nvb3Rlcl9zaW1wbGUuZ2xiIiwiaWF0IjoxNzIzOTk1ODU2LCJleHAiOjE3NTU1MzE4NTZ9.4PJO2LtN_pRUiM_Gp1saNxWrhDvdKrUJKsDsJ9m5QgM&t=2024-08-18T15%3A44%3A17.556Z,1000
4,Bicycle,Hero Sprint,"{""gear"": ""Single Speed"", ""category"": ""MTB"", ""manufacturer"": ""Hero""}",https://rdtcwsuxbrdoyhskbvkv.supabase.co/storage/v1/object/sign/models-3d/bicycle%20(1).glb?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJtb2RlbHMtM2QvYmljeWNsZSAoMSkuZ2xiIiwiaWF0IjoxNzIzOTk1NzE2LCJleHAiOjE3NTU1MzE3MTZ9.lDnlEXozOBX0zWM4c9DFEBOaJ6q8IQ-AsScuMHeJhCc&t=2024-08-18T15%3A41%3A57.877Z,400
5,Bicycle,Atlas Goldline,"{""gear"": ""Single Speed"", ""category"": ""Road"", ""manufacturer"": ""Atlas""}",https://rdtcwsuxbrdoyhskbvkv.supabase.co/storage/v1/object/sign/models-3d/bicycle.glb?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJtb2RlbHMtM2QvYmljeWNsZS5nbGIiLCJpYXQiOjE3MjM5OTU3OTEsImV4cCI6MTc1NTUzMTc5MX0.MaAwjP7Am4L7hnxqf7Z7VGGwgyYzZIR4I52ChT2IyXY&t=2024-08-18T15%3A43%3A12.593Z,400
6,Bicycle,Hercules Roadeo,"{""gear"": ""21 Speed"", ""category"": ""MTB"", ""manufacturer"": ""Hercules""}",https://rdtcwsuxbrdoyhskbvkv.supabase.co/storage/v1/object/sign/models-3d/bmx.glb?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJtb2RlbHMtM2QvYm14LmdsYiIsImlhdCI6MTcyMzk5NTc5NywiZXhwIjoxNzU1NTMxNzk3fQ.yuTwN7o-O93R2OuCT8rmwf4vAMZ9pNGby0jauBrWex8&t=2024-08-18T15%3A43%3A18.918Z,400
7,Tricycle,Adico Hero Tricycle,"{""material"": ""Steel"", ""age_group"": ""Kids"", ""manufacturer"": ""Adico""}",https://rdtcwsuxbrdoyhskbvkv.supabase.co/storage/v1/object/sign/models-3d/low_poly_kids_tricycle.glb?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJtb2RlbHMtM2QvbG93X3BvbHlfa2lkc190cmljeWNsZS5nbGIiLCJpYXQiOjE3MjM5OTY0MTYsImV4cCI6MTc1NTUzMjQxNn0.sEWWqjAXhWaqLocRkoSY_DEpaLeDiTDHZx3WsN6OBIQ&t=2024-08-18T15%3A53%3A37.744Z,250
8,Tricycle,Sai Handicrafts Tricycle,"{""material"": ""Plastic"", ""age_group"": ""Kids"", ""manufacturer"": ""Sai Handicrafts""}",https://rdtcwsuxbrdoyhskbvkv.supabase.co/storage/v1/object/sign/models-3d/tricycle.glb?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJtb2RlbHMtM2QvdHJpY3ljbGUuZ2xiIiwiaWF0IjoxNzIzOTk2NDI4LCJleHAiOjE3NTU1MzI0Mjh9.N74Bi9oeMlnWCdAqrryqoIVVyz5rp_OQjHLRk1P9dWo&t=2024-08-18T15%3A53%3A49.735Z,250
9,Tricycle,Hero Kids Tricycle,"{""material"": ""Steel"", ""age_group"": ""Kids"", ""manufacturer"": ""Hero""}",https://rdtcwsuxbrdoyhskbvkv.supabase.co/storage/v1/object/sign/models-3d/unicycle.glb?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJtb2RlbHMtM2QvdW5pY3ljbGUuZ2xiIiwiaWF0IjoxNzIzOTk2NDMzLCJleHAiOjE3NTU1MzI0MzN9.Bwz62d86lRu264XeqkTywv1EOFyxaroYDRL7zLi2zd4&t=2024-08-18T15%3A53%3A54.440Z,250
10,Car-Mini,Maruti Suzuki Alto 800,"{""engine"": ""796cc"", ""category"": ""Hatchback"", ""manufacturer"": ""Maruti Suzuki""}",https://rdtcwsuxbrdoyhskbvkv.supabase.co/storage/v1/object/sign/models-3d/dragon_ball_hover_car.glb?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJtb2RlbHMtM2QvZHJhZ29uX2JhbGxfaG92ZXJfY2FyLmdsYiIsImlhdCI6MTcyMzk5NjQ2MCwiZXhwIjoxNzU1NTMyNDYwfQ.RFonDtDp5YmOYySvdQ01-LJt5eWSFKP93XDMRjeyIx4&t=2024-08-18T15%3A54%3A21.981Z,3000
